title,genre,description
The Dark Knight,Action Crime Drama,A masked vigilante battles a psychopathic criminal mastermind who plunges Gotham City into chaos
Inception,Action Sci-Fi Thriller,A thief who enters dreams to steal secrets is given a chance to have his past crimes erased
Interstellar,Adventure Drama Sci-Fi,A team of explorers travels through a wormhole in space in an attempt to ensure humanity survival
The Matrix,Action Sci-Fi,A computer hacker discovers reality is a simulation and joins a rebellion against the machines
Avengers Endgame,Action Adventure Sci-Fi,The surviving heroes assemble to reverse the destruction caused by Thanos and restore balance to the universe
Iron Man,Action Adventure Sci-Fi,A billionaire inventor builds a powered armor suit and becomes a superhero to fight evil
The Godfather,Crime Drama,The aging patriarch of a crime dynasty transfers control of his empire to his reluctant son
Pulp Fiction,Crime Drama Thriller,Several interconnected stories of criminals and violence in Los Angeles
The Shawshank Redemption,Drama,A banker convicted of murder forms a friendship with a fellow prisoner over decades in prison
Forrest Gump,Drama Romance,The story of a simple man from Alabama who influences major historical events over several decades
Titanic,Drama Romance,A young aristocrat falls in love with a kind artist aboard the ill-fated voyage of the Titanic
The Notebook,Drama Romance,A young couple falls in love in the 1940s and their story is told through letters years later
Pride and Prejudice,Drama Romance,A spirited young woman navigates love manners and society in 19th century England
Goodfellas,Crime Drama,The story of Henry Hill and his life in the mob covering his childhood through his testimony against the mafia
Schindler List,Drama History War,A businessman saves the lives of more than a thousand Jewish refugees during the Holocaust
The Wolf of Wall Street,Biography Crime Drama,Based on the true story of Jordan Belfort a stockbroker who engages in corruption and fraud on Wall Street
Fight Club,Drama Thriller,An office worker and a soap salesman build a network of underground fighting clubs that evolves into something more
Se7en,Crime Mystery Thriller,Two detectives hunt a serial killer who uses the seven deadly sins as his motives
Silence of the Lambs,Crime Horror Thriller,A young FBI agent enlists the help of imprisoned cannibal Hannibal Lecter to catch another serial killer
Get Out,Horror Mystery Thriller,A Black man visits his white girlfriend family and discovers terrifying secrets hidden beneath the surface
The Conjuring,Horror Mystery,Two paranormal investigators help a family terrorized by a dark presence in their farmhouse
A Quiet Place,Drama Horror Sci-Fi,A family struggles to survive in a post-apocalyptic world inhabited by blind monsters with acute hearing
Avengers Infinity War,Action Adventure Sci-Fi,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat Thanos
Captain America Civil War,Action Adventure Sci-Fi,A disagreement between Iron Man and Captain America causes a rift among the Avengers
Black Panther,Action Adventure Sci-Fi,A newly crowned king of the hidden African nation of Wakanda must defend his country from an enemy from his past
Spider-Man No Way Home,Action Adventure Sci-Fi,Peter Parker seeks help from Doctor Strange to erase the world memory of his secret identity
Doctor Strange,Action Adventure Fantasy Sci-Fi,A former neurosurgeon embarks on a journey of healing and becomes a powerful sorcerer
Thor Ragnarok,Action Adventure Comedy Sci-Fi,Thor must escape from a gladiatorial contest and save his home planet Asgard from an all-powerful villain
Guardians of the Galaxy,Action Adventure Comedy Sci-Fi,A group of intergalactic criminals are forced to work together to stop a fanatical warrior bent on galactic genocide
The Avengers,Action Adventure Sci-Fi,Earth mightiest heroes must come together to stop Loki and his alien army from enslaving humanity
Toy Story,Animation Adventure Comedy,A cowboy doll is threatened by the arrival of a new spaceman action figure and must find a way to coexist
Finding Nemo,Animation Adventure Comedy,A clownfish searches the ocean to find his missing son with help from a friendly but forgetful fish
The Lion King,Animation Adventure Drama,A lion cub prince flees his kingdom only to learn the true meaning of responsibility and bravery
Up,Animation Adventure Comedy Drama,A widowed old man embarks on an adventure to South America in a house lifted by thousands of balloons
WALL-E,Animation Adventure Sci-Fi,A small waste-collecting robot falls in love and embarks on an intergalactic journey that changes the fate of Earth
Inside Out,Animation Adventure Comedy Drama,A girl navigates her emotions personified as characters during a major life change
Coco,Animation Adventure Fantasy,A young boy travels to the Land of the Dead to uncover the mystery of his familys ban on music
Frozen,Animation Adventure Comedy,A princess sets off on an adventure with a mountaineer to find her magical sister and save their kingdom
Moana,Animation Adventure,A Polynesian chief daughter is chosen by the ocean to unite an ancient power and save her people
The Incredibles,Animation Action Adventure,A family of superheroes living in suburbia must save the world from a villainous mastermind
Harry Potter and the Sorcerers Stone,Adventure Fantasy,A young boy discovers he is a wizard on his eleventh birthday and begins his education at Hogwarts School
The Lord of the Rings Fellowship of the Ring,Adventure Drama Fantasy,A young hobbit and his companions begin a dangerous journey to destroy a powerful ring
The Lord of the Rings The Two Towers,Adventure Drama Fantasy,Frodo and Sam continue their quest to destroy the ring while their friends fight a great battle at Helm Deep
The Lord of the Rings Return of the King,Adventure Drama Fantasy,Aragorn leads the forces of good against Sauron while Frodo and Sam reach Mount Doom to destroy the ring
Star Wars A New Hope,Action Adventure Fantasy Sci-Fi,A farm boy joins rebels to rescue a princess and destroy a massive space weapon threatening the galaxy
Star Wars The Empire Strikes Back,Action Adventure Fantasy Sci-Fi,The rebels are overpowered by the Empire while a young hero learns more about the Force from a legendary Jedi
Jurassic Park,Adventure Sci-Fi Thriller,Scientists clone dinosaurs for a theme park but the creatures escape and chaos ensues
Back to the Future,Adventure Comedy Sci-Fi,A teenager is accidentally sent thirty years into the past in a time-traveling car and must ensure his parents meet
The Hunger Games,Action Adventure Sci-Fi,A brave girl volunteers in place of her sister for a televised survival competition in a dystopian future
Divergent,Action Adventure Sci-Fi,A young woman in a dystopian future discovers she does not fit into any one societal faction
Blade Runner 2049,Drama Mystery Sci-Fi Thriller,A young blade runner uncovers a secret that could plunge society into chaos and leads him to find a predecessor
Arrival,Drama Mystery Sci-Fi,A linguist is recruited to communicate with alien spacecraft that have landed around the world
Gravity,Adventure Drama Sci-Fi Thriller,Two astronauts struggle to survive after their shuttle is destroyed by debris in orbit around Earth
The Martian,Adventure Drama Sci-Fi,An astronaut becomes stranded on Mars and must use his ingenuity to survive until a rescue can be arranged
Whiplash,Drama Music,A young drummer pursues perfection under the abusive mentorship of a ruthless instructor
La La Land,Comedy Drama Music Romance,A jazz musician and an aspiring actress fall in love in Los Angeles while pursuing their dreams
Bohemian Rhapsody,Biography Drama Music,The story of the legendary British rock band Queen and lead singer Freddie Mercury
Rocketman,Biography Drama Music,The life and career of legendary musician Elton John from his childhood to his rise to fame
The Greatest Showman,Biography Drama Music,The story of P T Barnum and his rise to fame as a showman who created a world of wonders
Joker,Crime Drama Thriller,A failed comedian and mentally ill man descends into madness and becomes a criminal in Gotham City
Oppenheimer,Biography Drama History,The story of J Robert Oppenheimer and his role in the development of the atomic bomb during World War II
Dune,Adventure Drama Sci-Fi,A noble family becomes embroiled in a war for control of the most valuable resource in the universe on a desert planet
Everything Everywhere All at Once,Action Comedy Drama Sci-Fi,A middle-aged Chinese immigrant is swept up in an adventure to save the multiverse by connecting with the lives she could have led
